input size, Prove time (microseconds), Verification time (microseconds), naive pairing(microsecond), 
128, 90236, 12208, 88888

256, 162387, 19080, 179937

512, 514541, 58779, 474999

1024, 691801, 61485, 891166

2048, 1298807, 103942, 1434705

4096, 2868244, 190068, 2964978

8192, 5264068, 380222, 5955494

16384, 10102482, 759606, 11788955

